file_path,classification,reason,referenced_by,imports,confidence,sha256
scripts/scratch_repro.py,DEFINITELY DEAD,Unreferenced untracked scratch script,NONE,imports app.dmfe.pipeline app.db.database,100,see SHA256SUMS.txt
assets/payload.json,DEFINITELY DEAD,Zero references anywhere in codebase,NONE,NONE,100,see SHA256SUMS.txt
scripts/generate_final_docs.py,PROBABLY DEAD,Standalone DOCX generator untracked zero imports,NONE,imports docx com.client win32com,95,see SHA256SUMS.txt
scripts/generate_final_docs_11.py,PROBABLY DEAD,Variant DOCX generator untracked zero imports,NONE,imports docx com.client win32com,95,see SHA256SUMS.txt
scripts/generate_final_resp.py,PROBABLY DEAD,Response DOCX generator untracked zero imports,NONE,imports docx com.client win32com,95,see SHA256SUMS.txt
scripts/scratch_docx.py,PROBABLY DEAD,DOCX reader utility untracked zero imports,NONE,imports docx,95,see SHA256SUMS.txt
scripts/scratch_tex.py,PROBABLY DEAD,LaTeX generator untracked zero imports,NONE,imports json os pathlib,95,see SHA256SUMS.txt
scripts/scratch_read_resp.py,PROBABLY DEAD,Response text extractor untracked zero imports,NONE,imports docx,95,see SHA256SUMS.txt
scripts/scratch_read_camera.py,PROBABLY DEAD,Camera-ready text extractor untracked zero imports,NONE,imports docx,95,see SHA256SUMS.txt
assets/doc_text.txt,PROBABLY DEAD,Scratch output file zero references,NONE,N/A,95,see SHA256SUMS.txt
assets/doc_text2.txt,PROBABLY DEAD,Scratch output file zero references,NONE,N/A,95,see SHA256SUMS.txt
assets/tables.txt,PROBABLY DEAD,Scratch output file zero references,NONE,N/A,95,see SHA256SUMS.txt
assets/tables_all.txt,PROBABLY DEAD,Scratch output file zero references,NONE,N/A,95,see SHA256SUMS.txt
assets/completion_context.txt,PROBABLY DEAD,Scratch output file zero references,NONE,N/A,95,see SHA256SUMS.txt
assets/scratch_read_docx.txt,DUPLICATE,Output of dead script scratch_docx.py,scratch_docx.py,N/A,95,see SHA256SUMS.txt
assets/scratch_read_camera_ready.txt,DUPLICATE,Output of dead script scratch_read_camera.py,scratch_read_camera.py,N/A,95,see SHA256SUMS.txt
assets/scratch_read_responses.txt,DUPLICATE,Output of dead script scratch_read_resp.py,scratch_read_resp.py,N/A,95,see SHA256SUMS.txt
assets/commit_message.txt,LEGACY,Only in .gitignore and archived docs no code references,.gitignore archived audit docs,N/A,90,see SHA256SUMS.txt
assets/storage_audit.json,LEGACY,Only referenced in docs prose,docs/STORAGE_OPTIMIZATION_REPORT.md,N/A,85,see SHA256SUMS.txt
assets/dmfe_dev_root_copy.db,LEGACY,Orphan DB copy code always uses backend/dmfe_dev.db,NONE,N/A,90,see SHA256SUMS.txt
other/.fuse_hidden0000004800000001,ARTIFACT,NFS/FUSE temp artifact safe to delete per docs,.gitignore,N/A,100,see SHA256SUMS.txt
other/backend_.fuse_hidden0000003300000001,ARTIFACT,NFS/FUSE temp artifact safe to delete per docs,.gitignore,N/A,100,see SHA256SUMS.txt
other/backend_.fuse_hidden0000003500000002,ARTIFACT,NFS/FUSE temp artifact safe to delete per docs,.gitignore,N/A,100,see SHA256SUMS.txt
other/backend_.fuse_hidden0000003600000003,ARTIFACT,NFS/FUSE temp artifact safe to delete per docs,.gitignore,N/A,100,see SHA256SUMS.txt
other/backend_.fuse_hidden0000003700000004,ARTIFACT,NFS/FUSE temp artifact safe to delete per docs,.gitignore,N/A,100,see SHA256SUMS.txt
other/backend_server_out.log,ARTIFACT,Unreferenced server log,NONE,N/A,100,see SHA256SUMS.txt
other/backend_server_err.log,ARTIFACT,Unreferenced server log,NONE,N/A,100,see SHA256SUMS.txt
other/backend_qa_test.db-shm,ARTIFACT,SQLite temp file no direct references,NONE,N/A,100,see SHA256SUMS.txt
other/backend_qa_test.db-wal,ARTIFACT,SQLite temp file,NONE,N/A,100,see SHA256SUMS.txt
other/eval.db-wal,ARTIFACT,SQLite temp file standard artifact,NONE,N/A,100,see SHA256SUMS.txt
other/eval.db-shm,ARTIFACT,SQLite temp file standard artifact,NONE,N/A,100,see SHA256SUMS.txt
backend/seed_users.py,UNCERTAIN,Standalone seeding script may be manually invoked,NONE,imports app.db.database app.core.security,60,see SHA256SUMS.txt
